time,symbol,direction,conviction,ensemble_agreement,council_score,price,stop_loss,take_profit,quantity,regime,atr
2026-06-02 02:51:54,btcusdt,BUY,0.8630069820263957,0.9793,0.691358024691358,71217.35,70940.01178571429,71910.6955357143,0.07211411543667,TRENDING,184.89214285714428
2026-06-02 03:31:54,btcusdt,BUY,0.8277215263930682,0.9755,0.0,70938.13,70854.91142857143,71146.17642857143,0.23490864643197357,TRENDING,41.60928571428459
2026-06-02 03:33:54,btcusdt,BUY,0.8178884941108051,0.9745,0.0,70932.53,70845.25571428571,71150.71571428572,0.22399223107120056,TRENDING,43.63714285714065
2026-06-02 03:35:54,btcusdt,BUY,0.849135155455548,0.9899,0.3448275862068966,70934.4,70859.69035714286,71121.17410714284,0.26166316990258215,TRENDING,49.80642857142603
2026-06-02 03:37:54,btcusdt,BUY,0.9125929344476096,0.9917,0.0,70844.01,70739.42714285714,71105.46714285715,0.18692128429409408,TRENDING,52.291428571426614
2026-06-02 03:39:54,btcusdt,BUY,0.9134246387441689,0.9983,0.0,70914.85,70808.38714285714,71181.00714285715,0.18362048978317644,TRENDING,53.23142857142894
2026-06-02 03:41:54,btcusdt,BUY,0.923029771277049,0.9999,0.3448275862068966,70957.99,70874.42928571429,71166.89178571431,0.23394680310469415,TRENDING,55.70714285714244
2026-06-02 03:43:54,btcusdt,BUY,0.8836156111022302,0.9965,0.0,70970.19,70869.86428571428,71221.0042857143,0.19485295580967033,TRENDING,50.16285714285706
2026-06-02 03:45:54,btcusdt,BUY,0.8647703393958039,0.9903,0.6835443037974683,70983.66,70920.08035714286,71142.60910714287,0.30746888616866075,TRENDING,42.38642857142882
2026-06-02 03:53:54,btcusdt,SELL,0.48584425537258386,0.9505,0.5026881720430108,71153.01,71207.83928571428,71015.9367857143,0.37157360003433226,TRENDING,36.55285714285752
2026-06-02 03:58:54,btcusdt,SELL,0.42253867587649785,0.9767,0.5026881720430108,71305.92,71367.45535714286,71152.08160714286,0.3201597742648339,TRENDING,41.02357142857155
2026-06-02 04:05:54,btcusdt,BUY,0.6302933701665625,0.9672,0.6835443037974683,71222.18,71159.42642857142,71379.06392857144,0.3139446186674154,TRENDING,41.83571428571512
2026-06-02 04:10:54,btcusdt,BUY,0.908425706785494,0.9681,0.19999999999999998,71104.01,71043.77107142856,71254.60732142857,0.31679916065261654,TRENDING,40.15928571428439
2026-06-02 04:12:54,btcusdt,BUY,0.9283382664876834,0.971,0.3125,71156.0,71093.31392857143,71312.71517857144,0.3044319348004937,TRENDING,41.79071428571375
2026-06-02 04:14:54,btcusdt,BUY,0.9192422157304262,0.9863,0.19999999999999998,71141.29,71079.50714285714,71295.74714285713,0.3088824779649949,TRENDING,41.18857142857035
2026-06-02 04:16:54,btcusdt,BUY,0.8586427627000492,0.9407,0.3125,71244.0,71176.48821428572,71412.77946428569,0.2826712670704367,TRENDING,45.00785714285511
2026-06-02 04:18:54,btcusdt,SELL,0.3900668798528253,0.996,0.5026881720430108,71376.0,71441.83392857143,71211.41517857142,0.28987548554596465,TRENDING,43.889285714283425
2026-06-02 04:28:54,btcusdt,SELL,0.2219994817501813,0.9327,0.0,71446.01,71520.40857142856,71260.01357142857,0.24859286693914615,TRENDING,37.199285714284215
2026-06-02 04:31:54,btcusdt,BUY,0.6584364278987755,0.9855,0.865771812080537,71385.96,71333.41607142858,71596.1357142857,0.879975796940254,TRENDING,35.02928571428284
2026-06-02 04:36:54,btcusdt,BUY,0.9267348822918164,0.974,0.40771349862258954,71320.28,71274.93714285715,71433.63714285713,0.37364874248567037,TRENDING,30.228571428568102
2026-06-02 04:41:54,btcusdt,BUY,0.8911061298331027,0.9824,0.40771349862258954,71441.41,71391.16107142858,71567.03232142856,0.3371674189640035,TRENDING,33.49928571428401
2026-06-02 04:46:54,btcusdt,BUY,0.7433100641839077,0.9649,1.0,71424.57,71377.15500000001,71614.22999999998,0.8932986160569646,RANGING,31.60999999999954
2026-06-02 04:51:54,btcusdt,BUY,0.8940911548238893,0.9899,0.0,71385.68,71322.69571428571,71543.14071428569,0.24541681357504574,RANGING,31.492142857142817
2026-06-02 04:53:54,btcusdt,BUY,0.8483239531775677,0.9804,0.0,71399.99,71340.99,71547.49,0.2619898763609953,RANGING,29.5
2026-06-02 04:55:54,btcusdt,BUY,0.8684252233364835,0.9799,0.0,71341.72,71284.10142857143,71485.76642857143,0.2682711896885885,RANGING,28.8092857142848
2026-06-02 04:57:54,btcusdt,BUY,0.9457462605487709,0.9947,0.0,71289.88,71232.41428571429,71433.5442857143,0.26898478331697073,TRENDING,28.73285714285677
2026-06-02 04:59:54,btcusdt,BUY,0.9734231816299928,0.9999,0.0,71248.0,71193.80285714286,71383.49285714285,0.2852069664639514,TRENDING,27.098571428571763
2026-06-02 05:01:54,btcusdt,BUY,0.9722354658108106,0.9998,0.0,71232.0,71176.89857142857,71369.75357142859,0.28052635124077957,TRENDING,27.550714285714744
2026-06-02 05:03:54,btcusdt,BUY,0.9840325110728904,0.9961,0.0,71307.99,71252.1,71447.715,0.27656830748432426,TRENDING,27.94500000000075
2026-06-02 05:05:54,btcusdt,BUY,0.9765609782449374,0.9941,0.0,71336.51,71282.62714285713,71471.21714285715,0.2868705099344735,TRENDING,26.94142857142911
2026-06-02 05:08:54,btcusdt,SELL,0.24930679270934583,0.9846,0.0,71536.69,71619.02285714286,71330.85785714287,0.1877428191090013,TRENDING,41.166428571428696
2026-06-02 05:10:54,btcusdt,SELL,0.386950737537435,0.8791,0.0,71569.14,71664.02285714286,71331.93285714285,0.16291038413846767,TRENDING,47.44142857142807
2026-06-02 05:21:54,btcusdt,BUY,0.6920393397216437,0.9945,0.0,71496.87,71418.39,71693.06999999998,0.19695976943551893,RANGING,39.239999999999
2026-06-02 05:23:54,btcusdt,BUY,0.9004437713235784,0.9785,0.0,71449.99,71373.37000000001,71641.54,0.2017410950835247,TRENDING,38.309999999999754
2026-06-02 05:25:54,btcusdt,BUY,0.9563912876240181,0.9888,0.0,71403.3,71330.81428571428,71584.51428571431,0.21324757378218345,TRENDING,36.242857142857765
2026-06-02 05:27:54,btcusdt,BUY,0.9416995411101472,0.9875,0.0,71389.54,71315.22571428571,71575.32571428569,0.20800042087100676,TRENDING,37.15714285714265
2026-06-02 05:29:54,btcusdt,BUY,0.9475854237011611,0.9902,0.0,71408.9,71337.85142857142,71586.52142857143,0.2175610627278833,TRENDING,35.52428571428546
2026-06-02 05:31:54,btcusdt,BUY,0.9632340114821353,0.9999,0.0,71371.66,71297.2042857143,71557.79928571428,0.20760532423319641,TRENDING,37.22785714285627
2026-06-02 05:33:54,btcusdt,BUY,0.9720428731791375,0.9997,0.0,71352.54,71275.66857142857,71544.71857142856,0.20108124686321996,TRENDING,38.435714285713665
2026-06-02 05:35:54,btcusdt,BUY,0.9615759782081732,0.9996,0.0,71336.01,71251.96571428572,71546.12071428569,0.18391973438680662,TRENDING,42.02214285714165
2026-06-02 05:37:54,btcusdt,BUY,0.9647248011188245,0.9997,0.0,71315.04,71234.44571428571,71516.5257142857,0.1917927873955948,TRENDING,40.29714285713999
2026-06-02 05:39:54,btcusdt,BUY,0.9526424389696149,0.9982,0.0,71282.26,71199.81428571428,71488.37428571428,0.18748582432958819,TRENDING,41.22285714285473
2026-06-02 05:41:54,btcusdt,BUY,0.9489570604298723,0.9984,0.0,71281.62,71195.90714285715,71495.90214285711,0.1803393705513479,TRENDING,42.85642857142687
2026-06-02 05:43:54,btcusdt,BUY,0.9398286543861514,0.9994,0.0,71277.49,71194.13857142859,71485.86857142855,0.18544856363264553,TRENDING,41.67571428571163
2026-06-02 05:45:54,btcusdt,BUY,0.9541742785863614,0.9997,0.0,71248.01,71170.12857142858,71442.71357142854,0.19847353841389997,TRENDING,38.94071428571208
2026-06-02 05:47:54,btcusdt,BUY,0.9626021243380816,0.9975,0.0,71244.0,71168.29714285715,71433.25714285712,0.20418519575992103,TRENDING,37.85142857142637
2026-06-02 05:49:54,btcusdt,BUY,0.9684556860998058,0.9971,0.0,71208.01,71138.89428571428,71380.79928571428,0.22364527177423954,TRENDING,34.5578571428549
2026-06-02 05:51:54,btcusdt,BUY,0.9667639307381415,0.9944,0.0,71222.88,71154.72142857143,71393.27642857144,0.22678589620231043,TRENDING,34.079285714284715
2026-06-02 05:53:54,btcusdt,BUY,0.9659727710497525,0.9964,0.0,71210.88,71146.49571428572,71371.84071428573,0.24008036330312854,TRENDING,32.19214285714198
2026-06-02 05:55:54,btcusdt,BUY,0.956169096279808,0.9985,0.0,71174.97,71111.72285714286,71333.08785714286,0.24439685347071238,TRENDING,31.623571428571136
2026-06-02 05:57:54,btcusdt,BUY,0.9438251237792379,0.9999,0.0,71182.88,71124.33571428571,71329.24071428573,0.26402923046553317,TRENDING,29.27214285714373
2026-06-02 05:59:54,btcusdt,BUY,0.8981216793906941,0.941,0.0,71230.0,71174.14857142857,71369.62857142859,0.2767593076966473,TRENDING,27.925714285714744
2026-06-02 06:01:54,btcusdt,BUY,0.9464875147633631,0.9942,0.0,71267.99,71207.76142857144,71418.56142857143,0.25664568059083737,TRENDING,30.11428571428613
2026-06-02 06:03:54,btcusdt,BUY,0.883485719041663,0.9875,0.0,71196.01,71127.33428571429,71367.69928571428,0.22507814976618584,TRENDING,34.337857142856855
2026-06-02 06:05:54,btcusdt,BUY,0.9150171689301998,0.9942,0.0,71249.99,71179.20285714287,71426.95785714284,0.21836455154708997,TRENDING,35.39357142857106
2026-06-02 06:07:54,btcusdt,BUY,0.9310068253059696,0.9884,0.0,71272.91,71200.1742857143,71454.74928571426,0.21251462032230498,RANGING,36.36785714285673
2026-06-02 06:09:54,btcusdt,BUY,0.6970000816457104,0.9598,0.0,71180.07,71099.60857142857,71381.22357142859,0.1921094738154634,RANGING,40.230714285713994
2026-06-02 06:11:54,btcusdt,BUY,0.8198540461777307,0.9756,0.0,71184.0,71099.66285714286,71394.84285714285,0.18328108092874454,TRENDING,42.16857142857147
2026-06-02 06:13:54,btcusdt,BUY,0.8663189366848794,0.9956,0.0,71137.1,71043.80714285714,71370.33214285717,0.16568688299071027,TRENDING,46.64642857142878
2026-06-02 06:15:54,btcusdt,BUY,0.883662426916084,0.9953,0.0,71151.51,71061.25428571428,71377.14928571427,0.1712623164929718,TRENDING,45.12785714285668
2026-06-02 06:17:54,btcusdt,BUY,0.8542083655958208,0.9985,0.0,71192.0,71109.51285714285,71398.21785714288,0.18739166092911835,TRENDING,41.24357142857168
2026-06-02 06:19:54,btcusdt,BUY,0.9142976916496277,0.9882,0.0,71184.35,71109.9842857143,71370.26428571428,0.20785657549003875,RANGING,37.18285714285802
2026-06-02 06:21:54,btcusdt,BUY,0.9362819200291929,0.9976,0.0,71227.86,71154.41714285714,71411.46714285715,0.21046842819896874,RANGING,36.72142857142899
2026-06-02 06:23:54,btcusdt,BUY,0.8771241436767124,0.992,0.0,71277.38,71213.38571428572,71437.36571428573,0.24154348365275025,TRENDING,31.997142857143313
2026-06-02 06:25:54,btcusdt,BUY,0.8950457334032278,0.9844,0.0,71256.0,71195.26714285715,71407.83214285714,0.25451466360195935,TRENDING,30.366428571428905
2026-06-02 06:27:54,btcusdt,BUY,0.8132898396577243,0.9822,0.0,71275.58,71220.17857142858,71414.08357142855,0.27900729464713103,TRENDING,27.70071428571412
2026-06-02 06:29:54,btcusdt,BUY,0.6898743839883011,0.975,0.0,71289.23,71236.05,71422.17999999998,0.290661953841684,TRENDING,26.589999999999627
2026-06-02 06:31:54,btcusdt,BUY,0.7033194584581343,0.9892,0.0,71297.29,71247.59857142856,71421.51857142858,0.3110677867326576,TRENDING,24.845714285714035
2026-06-02 06:32:54,btcusdt,SELL,0.45969296991290853,0.9436,0.0,71332.01,71390.29285714285,71186.30285714286,0.2652135372741213,TRENDING,29.141428571428282
2026-06-02 07:55:54,btcusdt,BUY,0.848685167733477,0.9888,0.0,70581.92,70413.44714285714,71003.10214285714,0.09175010721276956,VOLATILE,84.23642857142737
2026-06-02 07:57:54,btcusdt,BUY,0.8615060792091133,0.9858,0.0,70708.63,70526.94571428573,71162.8407142857,0.08507836902090483,VOLATILE,90.84214285714135
2026-06-02 07:59:54,btcusdt,BUY,0.7779134630277171,0.9869,0.0,70807.51,70612.81428571428,71294.24928571428,0.07939261920586074,VOLATILE,97.34785714285577
2026-06-02 08:01:54,btcusdt,BUY,0.8265349189463189,0.9887,0.0,70773.57,70565.09714285715,71294.75214285715,0.07414587643276016,VOLATILE,104.23642857142633
2026-06-02 12:37:54,btcusdt,BUY,0.8688772727461371,0.985,0.0,69968.83,69623.05857142857,70833.25857142858,0.04470410632006694,VOLATILE,172.88571428571387
2026-06-02 12:39:54,btcusdt,BUY,0.8979151947750033,0.989,0.0,69982.0,69633.45857142856,70853.3535714286,0.044348824668143064,VOLATILE,174.27071428571486
2026-06-02 12:41:54,btcusdt,BUY,0.8772925760864911,0.9997,0.0,70040.76,69686.49428571427,70926.4242857143,0.04363222881013006,VOLATILE,177.13285714285823
2026-06-02 12:43:54,btcusdt,BUY,0.8563700651262124,0.9892,0.0,70060.48,69816.36571428571,70670.7657142857,0.06332035284239923,VOLATILE,122.0571428571441
2026-06-02 12:45:54,btcusdt,BUY,0.7747417088677138,0.978,0.0,70142.97,69903.14,70742.54500000001,0.06445149774965021,VOLATILE,119.91500000000087
2026-06-02 12:47:54,btcusdt,BUY,0.7099242325577608,0.9701,0.0,70230.96,69996.02571428572,70818.29571428573,0.0657945802091093,VOLATILE,117.46714285714344
2026-06-02 12:49:54,btcusdt,BUY,0.6465373032584757,0.9736,0.0,70192.46,69957.70285714287,70779.35285714286,0.065844227430836,VOLATILE,117.37857142857267
2026-06-02 12:51:54,btcusdt,BUY,0.6924233764125203,0.9636,0.0,70149.99,70053.92571428572,70390.1507142857,0.16090686138314553,TRENDING,48.03214285714369
2026-06-02 12:53:54,btcusdt,BUY,0.7303000919369418,0.9648,0.0,70101.16,70009.62,70330.01000000002,0.16885954451930682,TRENDING,45.770000000000955
2026-06-02 12:55:54,btcusdt,BUY,0.8992450636658638,0.9933,0.0,69937.78,69826.42857142857,70216.15857142859,0.13881638433926838,TRENDING,55.6757142857137
2026-06-02 12:57:57,btcusdt,BUY,0.9336432068665248,0.9999,0.0,69854.01,69735.56428571428,70150.12428571428,0.13050200084076088,VOLATILE,59.22285714285785
2026-06-02 12:59:54,btcusdt,BUY,0.9608638632771301,0.9983,0.0,69913.99,69795.41285714286,70210.43285714288,0.13035735499143186,TRENDING,59.28857142857201
2026-06-02 13:01:54,btcusdt,BUY,0.7996322448238736,0.9667,0.0,70024.0,69905.83285714286,70319.41785714286,0.13080965090258506,TRENDING,59.08357142857234
2026-06-02 13:04:54,btcusdt,BUY,0.7242108086473176,0.9324,0.0,70111.55,69982.79857142858,70433.42857142858,0.12005616463294908,VOLATILE,64.37571428571495
2026-06-02 13:06:54,btcusdt,BUY,0.7280343202550956,0.9767,0.0,70179.11,70039.11428571428,70529.0992857143,0.11041339932558071,VOLATILE,69.99785714285827
2026-06-02 13:08:54,btcusdt,BUY,0.7413054721387462,0.9511,0.0,70189.23,70044.63428571427,70550.7192857143,0.10690083576581505,VOLATILE,72.2978571428591
2026-06-02 13:13:54,btcusdt,SELL,0.29910981471041437,0.8921,0.0,70244.35,70350.99285714286,69977.74285714288,0.14494550426938133,TRENDING,53.32142857143065
2026-06-02 13:16:54,btcusdt,BUY,0.8035670818182505,0.992,0.0,70087.73,69982.57999999999,70350.60500000001,0.14700335430620484,TRENDING,52.575000000001246
2026-06-02 13:19:54,btcusdt,BUY,0.7315611670797462,0.9849,0.0,70125.24,70028.63571428572,70366.75071428574,0.16000742193793097,TRENDING,48.30214285714256
2026-06-02 13:21:54,btcusdt,BUY,0.8526891947334121,0.9761,0.0,70151.19,70065.1442857143,70366.30428571426,0.17964175012800981,RANGING,43.022857142855564
2026-06-02 13:23:54,btcusdt,BUY,0.8947491949630717,0.9923,0.0,70095.37,70014.77714285714,70296.85214285713,0.19179618707276036,RANGING,40.29642857142608
2026-06-02 13:25:54,btcusdt,BUY,0.9141736573086547,0.9923,0.0,70210.0,70119.83142857143,70435.42142857143,0.17142783189754468,RANGING,45.08428571428418
2026-06-02 13:27:54,btcusdt,BUY,0.8334449089511078,0.9749,0.0,70144.0,70047.12142857144,70386.1964285714,0.1595544038001936,RANGING,48.43928571428426
2026-06-02 13:29:54,btcusdt,BUY,0.7675781944617488,0.9657,0.0,70118.42,70032.43857142857,70333.37357142856,0.17977606283266673,RANGING,42.99071428571291
2026-06-02 13:31:54,btcusdt,BUY,0.6481873711823622,0.9261,0.0,70146.01,70062.10285714285,70355.77785714286,0.18422034381047864,RANGING,41.953571428570804
2026-06-02 13:33:54,btcusdt,BUY,0.8186596226953271,0.9903,0.0,70089.03,70002.37142857142,70305.67642857143,0.17837130765580153,RANGING,43.32928571428575
